table_schema,table_name,column_name,data_type,is_nullable,column_default
comercial,atendimento_tarefas,id,integer,NO,nextval('comercial.atendimento_tarefas_id_seq'::regclass)
comercial,atendimento_tarefas,atendimento_id,integer,YES,
comercial,atendimento_tarefas,nome,character varying,YES,
comercial,atendimento_tarefas,concluida,integer,YES,
comercial,atendimento_tarefas,dados,character varying,YES,
comercial,atendimento_tarefas,data_execucao,character varying,YES,
comercial,atendimentos,id,integer,NO,nextval('comercial.atendimentos_id_seq'::regclass)
comercial,atendimentos,cliente,character varying,YES,
comercial,atendimentos,codigo,character varying,YES,
comercial,atendimentos,projetos,character varying,YES,
comercial,atendimentos,previsao_fechamento,character varying,YES,
comercial,atendimentos,temperatura,character varying,YES,
comercial,atendimentos,tem_especificador,integer,YES,
comercial,atendimentos,especificador_nome,character varying,YES,
comercial,atendimentos,rt_percent,double precision,YES,
comercial,atendimentos,entrega_diferente,integer,YES,
comercial,atendimentos,historico,character varying,YES,
comercial,atendimentos,arquivos_json,character varying,YES,
comercial,atendimentos,procedencia,character varying,YES,
comercial,atendimentos,vendedor,character varying,YES,
comercial,atendimentos,telefone,character varying,YES,
comercial,atendimentos,email,character varying,YES,
comercial,atendimentos,rua,character varying,YES,
comercial,atendimentos,numero,character varying,YES,
comercial,atendimentos,complemento,character varying,YES,
comercial,atendimentos,bairro,character varying,YES,
comercial,atendimentos,cidade,character varying,YES,
comercial,atendimentos,estado,character varying,YES,
comercial,atendimentos,cep,character varying,YES,
comercial,atendimentos,data_cadastro,character varying,YES,
comercial,condicoes_pagamento,id,integer,NO,nextval('comercial.condicoes_pagamento_id_seq'::regclass)
comercial,condicoes_pagamento,nome,character varying,YES,
comercial,condicoes_pagamento,numero_parcelas,integer,YES,
comercial,condicoes_pagamento,juros_parcela,double precision,YES,
comercial,condicoes_pagamento,dias_vencimento,character varying,YES,
comercial,condicoes_pagamento,ativa,integer,YES,
comercial,condicoes_pagamento,parcelas_json,character varying,YES,
comercial,projeto_itens,id,integer,NO,nextval('comercial.projeto_itens_id_seq'::regclass)
comercial,projeto_itens,atendimento_id,integer,YES,
comercial,projeto_itens,tarefa_id,integer,YES,
comercial,projeto_itens,ambiente,character varying,YES,
comercial,projeto_itens,descricao,character varying,YES,
comercial,projeto_itens,unitario,double precision,YES,
comercial,projeto_itens,quantidade,integer,YES,
comercial,projeto_itens,total,double precision,YES,
comercial,templates,id,integer,NO,nextval('comercial.templates_id_seq'::regclass)
comercial,templates,tipo,character varying,YES,
comercial,templates,titulo,character varying,YES,
comercial,templates,campos_json,character varying,YES,
gateway,clientes,id,integer,NO,nextval('gateway.clientes_id_seq'::regclass)
gateway,clientes,codigo,character varying,YES,
gateway,clientes,nome,character varying,YES,
gateway,clientes,documento,character varying,YES,
gateway,clientes,rg_ie,character varying,YES,
gateway,clientes,sexo,character varying,YES,
gateway,clientes,data_nascimento,character varying,YES,
gateway,clientes,telefone1,character varying,YES,
gateway,clientes,telefone2,character varying,YES,
gateway,clientes,pais,character varying,YES,
gateway,clientes,profissao,character varying,YES,
gateway,clientes,cep,character varying,YES,
gateway,clientes,cidade,character varying,YES,
gateway,clientes,estado,character varying,YES,
gateway,clientes,endereco,character varying,YES,
gateway,clientes,numero,character varying,YES,
gateway,clientes,complemento,character varying,YES,
gateway,clientes,bairro,character varying,YES,
gateway,clientes,email,character varying,YES,
gateway,clientes,procedencia,text,YES,
gateway,clientes,estado_imovel,text,YES,
gateway,clientes,previsao_fechamento,text,YES,
gateway,empresa,id,integer,NO,nextval('gateway.empresa_id_seq'::regclass)
gateway,empresa,codigo,character varying,YES,
gateway,empresa,razao_social,character varying,YES,
gateway,empresa,nome_fantasia,character varying,YES,
gateway,empresa,cnpj,character varying,YES,
gateway,empresa,inscricao_estadual,character varying,YES,
gateway,empresa,cep,character varying,YES,
gateway,empresa,rua,character varying,YES,
gateway,empresa,numero,character varying,YES,
gateway,empresa,complemento,character varying,YES,
gateway,empresa,bairro,character varying,YES,
gateway,empresa,cidade,character varying,YES,
gateway,empresa,estado,character varying,YES,
gateway,empresa,telefone1,character varying,YES,
gateway,empresa,telefone2,character varying,YES,
gateway,empresa,slogan,character varying,YES,
gateway,empresa,logo,bytea,YES,
gateway,fornecedores,id,integer,NO,nextval('gateway.fornecedores_id_seq'::regclass)
gateway,fornecedores,nome,character varying,YES,
gateway,fornecedores,contato,character varying,YES,
marketing,users,id,integer,NO,nextval('marketing.users_id_seq'::regclass)
marketing,users,username,character varying,YES,
marketing,users,password,character varying,YES,
marketing,users,email,character varying,YES,
marketing,users,nome,character varying,YES,
marketing,users,cargo,character varying,YES,
marketing,users,permissoes,character varying,YES,
producao,chapas,id,integer,NO,nextval('producao.chapas_id_seq'::regclass)
producao,chapas,possui_veio,integer,YES,
producao,chapas,propriedade,character varying,YES,
producao,chapas,espessura,double precision,YES,
producao,chapas,comprimento,double precision,YES,
producao,chapas,largura,double precision,YES,
producao,lotes,id,integer,NO,nextval('producao.lotes_id_seq'::regclass)
producao,lotes,pasta,character varying,YES,
producao,lotes,criado_em,character varying,YES,
producao,nestings,id,integer,NO,nextval('producao.nestings_id_seq'::regclass)
producao,nestings,lote,character varying,YES,
producao,nestings,pasta_resultado,character varying,YES,
producao,nestings,criado_em,character varying,YES,
